,ROC AUC,F1 Score,Sensitivity,Specificity,Balanced Accuracy
Self Reported Physical Activity,0.55 (0.51–0.59),0.61 (0.57–0.64),0.81 (0.77–0.85),0.21 (0.17–0.26),0.51 (0.48–0.54)
PCE_Clinic_Free,0.59 (0.55–0.63),0.45 (0.40–0.50),0.37 (0.32–0.42),0.77 (0.73–0.81),0.57 (0.54–0.60)
PCE_Clinic_Free + Self Reported Physical Activity,0.59 (0.55–0.63),0.44 (0.39–0.49),0.36 (0.31–0.41),0.77 (0.73–0.81),0.56 (0.53–0.59)
PCE_Clinic_Free + Accel,0.61 (0.57–0.65),0.54 (0.49–0.59),0.51 (0.46–0.56),0.67 (0.62–0.72),0.59 (0.55–0.62)
PCE_Clinic_Free + Accel Various,0.60 (0.56–0.64),0.53 (0.48–0.58),0.50 (0.45–0.55),0.64 (0.60–0.69),0.57 (0.53–0.61)
SCORE_Clinic_Free,0.57 (0.52–0.61),0.39 (0.34–0.44),0.29 (0.24–0.33),0.81 (0.77–0.85),0.55 (0.52–0.58)
SCORE_Clinic_Free + Self Reported Physical Activity,0.57 (0.53–0.61),0.39 (0.34–0.44),0.29 (0.24–0.33),0.83 (0.79–0.87),0.56 (0.53–0.59)
SCORE_Clinic_Free + Accel,0.60 (0.56–0.64),0.55 (0.50–0.59),0.52 (0.47–0.57),0.65 (0.60–0.70),0.59 (0.55–0.62)
SCORE_Clinic_Free + Accel Various,0.59 (0.55–0.63),0.56 (0.52–0.61),0.57 (0.51–0.62),0.59 (0.54–0.65),0.58 (0.54–0.62)
LE8_Clinic_Free,0.56 (0.52–0.61),0.47 (0.42–0.52),0.42 (0.37–0.47),0.67 (0.63–0.72),0.55 (0.51–0.58)
LE8_Clinic_Free + Self Reported Physical Activity,0.57 (0.52–0.61),0.47 (0.42–0.52),0.41 (0.36–0.47),0.67 (0.62–0.71),0.54 (0.51–0.58)
LE8_Clinic_Free + Accel,0.60 (0.56–0.64),0.54 (0.50–0.59),0.53 (0.47–0.58),0.62 (0.57–0.67),0.58 (0.54–0.61)
LE8_Clinic_Free + Accel Various,0.59 (0.55–0.64),0.55 (0.50–0.59),0.54 (0.49–0.59),0.60 (0.55–0.65),0.57 (0.53–0.61)
PCE_Reasonable_Clinic_Free,0.58 (0.54–0.62),0.47 (0.42–0.52),0.40 (0.35–0.46),0.71 (0.66–0.75),0.56 (0.52–0.59)
PCE_Reasonable_Clinic_Free + Self Reported Physical Activity,0.59 (0.54–0.62),0.48 (0.43–0.52),0.41 (0.36–0.46),0.70 (0.65–0.75),0.56 (0.52–0.59)
PCE_Reasonable_Clinic_Free + Accel,0.61 (0.57–0.65),0.54 (0.49–0.58),0.50 (0.45–0.55),0.67 (0.62–0.72),0.58 (0.55–0.62)
PCE_Reasonable_Clinic_Free + Accel Various,0.60 (0.56–0.64),0.54 (0.49–0.59),0.53 (0.48–0.59),0.60 (0.55–0.65),0.57 (0.53–0.60)
SCORE_Reasonable_Clinic_Free,0.56 (0.52–0.60),0.46 (0.41–0.50),0.39 (0.34–0.44),0.71 (0.66–0.75),0.55 (0.51–0.58)
SCORE_Reasonable_Clinic_Free + Self Reported Physical Activity,0.56 (0.52–0.60),0.47 (0.42–0.51),0.41 (0.35–0.45),0.70 (0.66–0.75),0.55 (0.52–0.59)
SCORE_Reasonable_Clinic_Free + Accel,0.60 (0.55–0.64),0.53 (0.48–0.58),0.50 (0.45–0.56),0.64 (0.60–0.70),0.57 (0.54–0.61)
SCORE_Reasonable_Clinic_Free + Accel Various,0.59 (0.54–0.63),0.54 (0.50–0.59),0.55 (0.50–0.60),0.58 (0.53–0.63),0.56 (0.52–0.60)
LE8_Reasonable_Clinic_Free,0.58 (0.54–0.62),0.51 (0.47–0.56),0.48 (0.43–0.53),0.65 (0.60–0.70),0.56 (0.53–0.60)
LE8_Reasonable_Clinic_Free + Self Reported Physical Activity,0.58 (0.54–0.62),0.52 (0.48–0.57),0.49 (0.44–0.54),0.65 (0.60–0.70),0.57 (0.54–0.61)
LE8_Reasonable_Clinic_Free + Accel,0.61 (0.56–0.65),0.55 (0.51–0.60),0.54 (0.48–0.59),0.63 (0.59–0.68),0.59 (0.55–0.62)
LE8_Reasonable_Clinic_Free + Accel Various,0.60 (0.56–0.64),0.57 (0.52–0.61),0.57 (0.52–0.62),0.60 (0.55–0.66),0.59 (0.55–0.62)
